id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
CLI0000001,Patricia,Vargas Nieto,CC,863797959,1978-11-15,2024-06-07,ESTANDAR,393.0,Floridablanca,Santander,ACTIVO,REFERIDO
CLI0000002,Ricardo,Herrera Herrera,CC,280414078,1967-11-07,2024-12-05,ESTANDAR,640.0,Envigado,Antioquia,ACTIVO,PORTAL_WEB
CLI0000003,Felipe,Vásquez Restrepo,CC,443048177,1992-08-06,2024-09-13,ELITE,787.0,Cali,Valle,ACTIVO,
CLI0000004,Claudia,Morales Martínez,CC,568771415,1999-09-02,2024-09-29,ELITE,759.0,Soledad,Atlántico,ACTIVO,REFERIDO
CLI0000005,Natalia,Martínez Flores,CE,527907834,1988-10-20,2024-12-10,PREMIUM,606.0,Facatativá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000006,Sandra,Restrepo Restrepo,CC,339774733,1987-05-19,2024-02-21,BASICO,,Malambo,Atlántico,ACTIVO,REFERIDO
CLI0000007,Patricia,Castillo Martínez,CC,920348640,1970-07-22,2024-02-11,ESTANDAR,627.0,Zipaquirá,Cundinamarca,ACTIVO,REFERIDO
CLI0000008,Natalia,Nieto Cardona,CC,987792595,1961-04-29,2024-05-07,BASICO,384.0,Facatativá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000009,Sergio,Jiménez Jiménez,CC,978684257,1965-06-06,2024-07-22,PREMIUM,750.0,Cali,Valle,ACTIVO,APP_MOVIL
CLI0000010,Andrés,Medina Vásquez,CC,207794771,1979-11-11,2024-09-19,ESTANDAR,588.0,Malambo,Atlántico,ACTIVO,REFERIDO
CLI0000011,Felipe,Salcedo Medina,CC,919433048,2001-04-07,2024-02-02,BASICO,320.0,Bello,Antioquia,ACTIVO,CORRESPONSAL
CLI0000012,Luisa,Herrera Ortiz,CC,250812403,1991-09-09,2024-04-09,BASICO,372.0,Envigado,Antioquia,ACTIVO,APP_MOVIL
CLI0000013,Melissa,González Ruiz,CC,758206891,1992-08-13,2024-06-29,ESTANDAR,551.0,Cartagena,Bolívar,ACTIVO,APP_MOVIL
CLI0000014,Paola,Ruiz Restrepo,NIT,213005632,1968-02-04,2024-04-30,BASICO,517.0,Medellín,Antioquia,ACTIVO,APP_MOVIL
CLI0000015,Iván,Rodríguez Martínez,CC,808637607,1960-12-24,2024-02-25,ESTANDAR,575.0,Buenaventura,Valle,INACTIVO,REFERIDO
CLI0000016,Patricia,Herrera Torres,CE,35718374,1994-09-23,2024-04-07,BASICO,366.0,Bello,Antioquia,INACTIVO,APP_MOVIL
CLI0000017,Cristian,Ortiz Ortiz,CC,391608536,1964-09-01,2024-08-31,BASICO,422.0,Buenaventura,Valle,INACTIVO,APP_MOVIL
CLI0000018,Natalia,Ospina Arango,NIT,387395282,1966-01-27,2024-07-22,BASICO,334.0,Bogotá,Cundinamarca,ACTIVO,REFERIDO
CLI0000019,Andrés,Nieto Nieto,CE,118205301,2000-04-01,2024-03-07,BASICO,301.0,Zipaquirá,Cundinamarca,INACTIVO,PORTAL_WEB
CLI0000020,Sergio,Morales Muñoz,CC,122415334,1980-03-10,2024-04-25,PREMIUM,667.0,,Antioquia,ACTIVO,FUERZA_VENTAS
CLI0000021,Miguel,Morales Ruiz,CE,63293956,1965-04-12,2024-01-25,BASICO,369.0,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000022,Paola,Sánchez Torres,CC,1163478796,1981-06-21,2024-07-02,BASICO,427.0,Villavicencio,Meta,ACTIVO,CORRESPONSAL
CLI0000023,Juan,Gómez Ospina,CC,1113799435,1977-12-06,2024-03-14,PREMIUM,773.0,Cali,Valle,ACTIVO,APP_MOVIL
CLI0000024,Iván,Medina García,CC,764430382,1988-07-02,2024-04-24,BASICO,344.0,Itagüí,Antioquia,ACTIVO,APP_MOVIL
CLI0000025,Daniela,Jiménez Medina,CC,1017905661,2001-07-19,2024-03-01,ELITE,777.0,Medellín,Antioquia,ACTIVO,PORTAL_WEB
CLI0000026,Claudia,Muñoz Gómez,CC,151484202,1979-11-29,2024-03-26,ESTANDAR,465.0,Bucaramanga,Santander,ACTIVO,CORRESPONSAL
CLI0000027,Yolanda,Gómez Cardona,CC,981716828,1971-10-14,2024-06-15,BASICO,300.0,Cartagena,Bolívar,ACTIVO,REFERIDO
CLI0000028,Camila,Ruiz González,CC,697124621,1995-06-18,2024-04-26,BASICO,462.0,Bogotá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000029,Laura,Vásquez Ospina,CC,478420243,1968-05-17,2024-03-04,BASICO,437.0,Bogotá,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000030,Paola,Díaz Ruiz,CC,345911013,1961-11-13,2024-06-29,BASICO,567.0,Magangué,Bolívar,ACTIVO,REFERIDO
CLI0000031,Cristian,Martínez Cardona,CE,1013854192,1964-01-05,2024-11-01,BASICO,438.0,Bogotá,Cundinamarca,BLOQUEADO,PORTAL_WEB
CLI0000032,Sandra,Flores Vargas,CE,1002101227,1987-08-17,2024-08-13,BASICO,379.0,Floridablanca,Santander,ACTIVO,REFERIDO
CLI0000033,Mauricio,Sánchez Rivera,CC,447339053,1962-08-18,2024-02-21,ESTANDAR,576.0,Soacha,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000034,Iván,Restrepo Flores,CC,1152986690,1972-10-06,2024-10-17,PREMIUM,,Barranquilla,Atlántico,ACTIVO,PORTAL_WEB
CLI0000035,María,Sánchez Ruiz,CE,1103538703,1992-12-13,2024-08-19,BASICO,479.0,Envigado,Antioquia,ACTIVO,APP_MOVIL
CLI0000036,Iván,Arango Pérez,CC,963052169,1984-12-21,2024-01-31,ELITE,794.0,Barranquilla,Atlántico,ACTIVO,CORRESPONSAL
CLI0000037,Daniela,López Castillo,CC,564522331,1970-11-23,2024-09-21,BASICO,424.0,Neiva,Huila,ACTIVO,CORRESPONSAL
CLI0000038,Daniela,Restrepo López,CC,590950167,1981-02-28,2024-03-27,ELITE,847.0,Floridablanca,Santander,ACTIVO,CORRESPONSAL
CLI0000039,Juliana,Torres Restrepo,CC,443388500,1991-05-31,2024-05-02,PREMIUM,718.0,Soledad,Atlántico,ACTIVO,APP_MOVIL
CLI0000040,Valentina,Arango Arango,CC,457867773,1978-10-30,2024-09-26,ESTANDAR,490.0,Lorica,Córdoba,BLOQUEADO,CORRESPONSAL
CLI0000041,Patricia,Medina Ruiz,CC,657966925,1965-02-03,2024-04-09,ESTANDAR,389.0,,Huila,ACTIVO,
CLI0000042,Laura,Salcedo Gómez,CC,939739901,2001-08-21,2024-06-16,ESTANDAR,585.0,Bogotá,Cundinamarca,BLOQUEADO,PORTAL_WEB
CLI0000043,Luisa,González Díaz,CC,820066438,1995-12-27,2024-01-16,ELITE,747.0,Zipaquirá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000044,Jorge,Díaz Salcedo,CC,53033625,1996-09-26,2024-10-11,BASICO,368.0,Zipaquirá,Cundinamarca,ACTIVO,
CLI0000045,Patricia,Nieto Salcedo,CC,1016892210,1970-04-04,2024-04-15,BASICO,459.0,Girón,Santander,ACTIVO,APP_MOVIL
CLI0000046,Ricardo,Romero Martínez,CC,1022846008,1964-11-21,2024-02-15,ESTANDAR,658.0,Facatativá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000047,Yolanda,Martínez Romero,CC,270771530,1990-07-11,2024-07-10,ESTANDAR,581.0,Bogotá,Cundinamarca,ACTIVO,
CLI0000048,Ricardo,Restrepo Ramírez,CC,541382656,1993-02-13,2024-03-08,ELITE,747.0,Zipaquirá,Cundinamarca,INACTIVO,APP_MOVIL
CLI0000049,Andrés,González Herrera,CC,614939758,1983-02-11,2024-09-13,ESTANDAR,639.0,Cali,Valle,ACTIVO,APP_MOVIL
CLI0000050,Camila,Jiménez Díaz,CC,192597994,1971-12-16,2024-02-04,ESTANDAR,576.0,Zipaquirá,Cundinamarca,ACTIVO,REFERIDO
CLI0000051,Andrés,Sánchez Martínez,CC,691224940,1999-07-31,2024-01-14,ESTANDAR,704.0,Soacha,Cundinamarca,ACTIVO,REFERIDO
CLI0000052,Sandra,Vargas Romero,CC,1154507844,1973-08-06,2024-03-31,ESTANDAR,458.0,Palmira,Valle,ACTIVO,PORTAL_WEB
CLI0000053,Ana,Flores Vargas,CC,59581730,1996-07-23,2024-07-03,ESTANDAR,487.0,Lorica,Córdoba,ACTIVO,PORTAL_WEB
CLI0000054,Melissa,Flores Rodríguez,CC,893804154,1963-05-04,2024-04-12,BASICO,375.0,Bogotá,Cundinamarca,ACTIVO,PORTAL_WEB
CLI0000055,Mauricio,Vargas Arango,PP,928804820,1966-08-09,2024-03-28,BASICO,300.0,Itagüí,Antioquia,ACTIVO,CORRESPONSAL
CLI0000056,Juliana,Gómez Vargas,CC,207429172,1976-09-04,2024-12-04,BASICO,463.0,Malambo,Atlántico,ACTIVO,FUERZA_VENTAS
CLI0000057,Yolanda,Cardona Morales,CC,1004193292,1996-01-30,2024-10-20,BASICO,,Cali,Valle,ACTIVO,REFERIDO
CLI0000058,Mauricio,Sánchez Pérez,CC,1194776648,1973-03-04,2024-03-07,PREMIUM,736.0,Zipaquirá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000059,Sergio,Vásquez Restrepo,CC,917854592,1996-02-23,2024-11-04,ESTANDAR,,Facatativá,Cundinamarca,ACTIVO,REFERIDO
CLI0000060,Alejandro,Morales Vargas,CE,372926902,1996-04-24,2024-05-01,PREMIUM,862.0,Zipaquirá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000061,Yolanda,Salcedo Romero,CC,760690365,1996-06-18,2024-07-13,BASICO,394.0,Itagüí,Antioquia,ACTIVO,APP_MOVIL
CLI0000062,Natalia,Castillo García,CC,212635264,1999-11-18,2024-09-09,BASICO,300.0,Facatativá,Cundinamarca,ACTIVO,FUERZA_VENTAS
CLI0000063,Laura,Ortiz Torres,CC,1156221355,1997-10-18,2024-06-23,PREMIUM,729.0,Palmira,Valle,ACTIVO,APP_MOVIL
CLI0000064,Ricardo,López Nieto,CC,987549381,1978-12-04,2024-08-25,ESTANDAR,678.0,Malambo,Atlántico,ACTIVO,APP_MOVIL
CLI0000065,Óscar,Nieto Cardona,PP,563318412,1972-10-20,2024-01-15,PREMIUM,658.0,Facatativá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000066,Miguel,Ramírez Rodríguez,CC,1144252115,1983-11-20,2024-07-16,PREMIUM,,Bogotá,Cundinamarca,ACTIVO,CORRESPONSAL
CLI0000067,Valentina,Ospina Morales,CC,68266814,1988-04-02,2024-10-10,PREMIUM,597.0,Barranquilla,Atlántico,ACTIVO,PORTAL_WEB
CLI0000068,Cristian,Vásquez Muñoz,CC,313033728,1982-02-16,2024-04-06,BASICO,357.0,Zipaquirá,Cundinamarca,ACTIVO,APP_MOVIL
CLI0000069,Luisa,Torres Castillo,CC,1065003498,1998-10-23,2024-04-19,ESTANDAR,525.0,Cartagena,Bolívar,ACTIVO,APP_MOVIL
